ID,addr_o
45263555000_file6,"Москва, Улица Вешняковская, 27"
45263555000_file6,"Москва, Улица Вешняковская, 1"
45263555000_file6,"Москва, Улица Вешняковская, 27"
45263555000_file6,"Москва, Улица Вешняковская, 2"
45263555000_file6,"Москва, Улица Вешняковская, 31"
45263555000_file6,"Москва, Улица Вешняковская, 1"
45263555000_file6,"Москва, Улица Вешняковская, 31"
45263555000_file6,"Москва, Улица Вешняковская, 2"
45263555000_file7,"Москва, Улица Красный Казанец, 3"
45263555000_file7,"Москва, Улица Красный Казанец, 2"
45263555000_file7,"Москва, Улица Красный Казанец, 3"
